rank,b,lo,hi,sig,estimator,experience,industry,region,health,yearFE
1,0.03783,-0.00543,0.08110,0,fd,1,1,1,1,1
2,0.03817,-0.00524,0.08157,0,fd,1,1,0,1,1
3,0.03840,-0.00474,0.08155,0,fd,1,1,1,0,1
4,0.03856,-0.00471,0.08182,0,fd,0,1,1,1,1
5,0.03873,-0.00455,0.08202,0,fd,1,1,0,0,1
6,0.03874,-0.00481,0.08229,0,fd,0,1,1,1,0
7,0.03886,-0.00454,0.08226,0,fd,0,1,0,1,1
8,0.03897,-0.00469,0.08263,0,fd,0,1,0,1,0
9,0.03913,-0.00402,0.08228,0,fd,0,1,1,0,1
10,0.03915,-0.00432,0.08262,0,fd,1,1,1,1,0
11,0.03929,-0.00416,0.08273,0,fd,0,1,1,0,0
12,0.03943,-0.00385,0.08272,0,fd,0,1,0,0,1
13,0.03945,-0.00415,0.08306,0,fd,1,1,0,1,0
14,0.03951,-0.00405,0.08308,0,fd,0,1,0,0,0
15,0.03969,-0.00367,0.08305,0,fd,1,1,1,0,0
16,0.03999,-0.00351,0.08349,0,fd,1,1,0,0,0
17,0.04044,-0.00271,0.08358,0,fd,1,0,1,1,1
18,0.04063,-0.00258,0.08384,0,fd,1,0,0,1,1
19,0.04109,-0.00192,0.08411,0,fd,1,0,1,0,1
20,0.04121,-0.00193,0.08435,0,fd,0,0,1,1,1
21,0.04128,-0.00180,0.08437,0,fd,1,0,0,0,1
22,0.04137,-0.00183,0.08457,0,fd,0,0,0,1,1
23,0.04187,-0.00151,0.08525,0,fd,0,0,1,1,0
24,0.04187,-0.00114,0.08488,0,fd,0,0,1,0,1
25,0.04193,-0.00149,0.08535,0,fd,0,0,0,1,0
26,0.04203,-0.00105,0.08511,0,fd,0,0,0,0,1
27,0.04218,-0.00114,0.08551,0,fd,1,0,1,1,0
28,0.04232,-0.00107,0.08571,0,fd,1,0,0,1,0
29,0.04249,-0.00078,0.08575,0,fd,0,0,1,0,0
30,0.04255,-0.00076,0.08585,0,fd,0,0,0,0,0
31,0.04280,-0.00041,0.08600,0,fd,1,0,1,0,0
32,0.04293,-0.00035,0.08620,0,fd,1,0,0,0,0
33,0.06523,0.01297,0.11749,1,within,0,1,0,1,0
34,0.06567,0.01343,0.11791,1,within,0,1,0,0,0
35,0.06792,0.01555,0.12029,1,within,0,1,1,1,0
36,0.06838,0.01604,0.12072,1,within,0,1,1,0,0
37,0.07060,0.02331,0.11790,1,random,0,1,0,1,0
38,0.07099,0.02370,0.11828,1,random,0,1,0,0,0
39,0.07416,0.01827,0.13004,1,within,0,0,0,1,0
40,0.07423,0.02730,0.12117,1,random,0,1,1,1,0
41,0.07468,0.02777,0.12159,1,random,0,1,1,0,0
42,0.07469,0.01887,0.13050,1,within,0,0,0,0,0
43,0.07668,0.02060,0.13275,1,within,0,0,1,1,0
44,0.07691,0.02537,0.12846,1,random,0,0,0,1,0
45,0.07723,0.02124,0.13323,1,within,0,0,1,0,0
46,0.07731,0.02580,0.12883,1,random,0,0,0,0,0
47,0.07873,0.03187,0.12558,1,within,1,1,0,1,1
48,0.07888,0.03200,0.12575,1,within,1,1,0,0,1
49,0.07888,0.03207,0.12569,1,within,1,1,1,1,1
50,0.07905,0.03222,0.12588,1,within,1,1,1,0,1
51,0.08064,0.03371,0.12757,1,within,1,1,0,1,0
52,0.08077,0.03390,0.12764,1,within,1,1,1,1,0
53,0.08079,0.03384,0.12775,1,within,1,1,0,0,0
54,0.08093,0.03404,0.12782,1,within,1,1,1,0,0
55,0.08111,0.03313,0.12909,1,within,1,0,0,1,1
56,0.08128,0.03323,0.12934,1,within,1,0,1,1,1
57,0.08130,0.03332,0.12928,1,within,1,0,0,0,1
58,0.08149,0.03344,0.12955,1,within,1,0,1,0,1
59,0.08177,0.03076,0.13278,1,random,0,0,1,1,0
60,0.08226,0.03486,0.12965,1,within,0,1,0,1,1
61,0.08228,0.03133,0.13323,1,random,0,0,1,0,0
62,0.08243,0.03501,0.12985,1,within,0,1,0,0,1
63,0.08255,0.03521,0.12989,1,within,0,1,1,1,1
64,0.08274,0.03538,0.13010,1,within,0,1,1,0,1
65,0.08315,0.03503,0.13126,1,within,1,0,0,1,0
66,0.08331,0.03513,0.13149,1,within,1,0,1,1,0
67,0.08334,0.03521,0.13146,1,within,1,0,0,0,0
68,0.08351,0.03533,0.13169,1,within,1,0,1,0,0
69,0.08491,0.03622,0.13361,1,within,0,0,0,1,1
70,0.08513,0.03644,0.13383,1,within,0,0,0,0,1
71,0.08521,0.03645,0.13397,1,within,0,0,1,1,1
72,0.08545,0.03669,0.13421,1,within,0,0,1,0,1
73,0.08671,0.04363,0.12979,1,random,0,1,0,1,1
74,0.08684,0.04373,0.12996,1,random,0,1,0,0,1
75,0.08710,0.04208,0.13211,1,random,0,0,0,1,1
76,0.08722,0.04217,0.13226,1,random,0,0,0,0,1
77,0.08821,0.04555,0.13087,1,random,0,1,1,1,1
78,0.08839,0.04571,0.13107,1,random,0,1,1,0,1
79,0.08946,0.04489,0.13403,1,random,0,0,1,1,1
80,0.08966,0.04508,0.13424,1,random,0,0,1,0,1
81,0.09226,0.05155,0.13296,1,random,1,1,1,1,0
82,0.09246,0.05174,0.13317,1,random,1,1,1,0,0
83,0.09249,0.05173,0.13325,1,random,1,1,0,1,0
84,0.09269,0.05192,0.13347,1,random,1,1,0,0,0
85,0.09424,0.05367,0.13480,1,random,1,1,0,1,1
86,0.09440,0.05382,0.13498,1,random,1,1,0,0,1
87,0.09449,0.05394,0.13504,1,random,1,1,1,1,1
88,0.09465,0.05408,0.13521,1,random,1,1,1,0,1
89,0.09926,0.05740,0.14113,1,random,1,0,0,1,0
90,0.09929,0.05736,0.14122,1,random,1,0,1,1,0
91,0.09954,0.05769,0.14139,1,random,1,0,0,0,0
92,0.09956,0.05764,0.14148,1,random,1,0,1,0,0
93,0.10034,0.05874,0.14194,1,random,1,0,0,1,1
94,0.10059,0.05900,0.14218,1,random,1,0,0,0,1
95,0.10080,0.05910,0.14250,1,random,1,0,1,1,1
96,0.10105,0.05936,0.14273,1,random,1,0,1,0,1
97,0.12167,0.06501,0.17833,1,pooled,1,1,1,1,0
98,0.12278,0.06619,0.17937,1,pooled,1,1,1,0,0
99,0.12338,0.06607,0.18068,1,pooled,1,1,0,1,0
100,0.12445,0.06721,0.18168,1,pooled,1,1,0,0,0
101,0.12772,0.07122,0.18422,1,pooled,0,1,1,1,0
102,0.12880,0.07178,0.18582,1,pooled,0,1,0,1,0
103,0.12890,0.07248,0.18532,1,pooled,0,1,1,0,0
104,0.12994,0.07300,0.18688,1,pooled,0,1,0,0,0
105,0.13560,0.08080,0.19041,1,pooled,1,1,1,1,1
106,0.13653,0.08178,0.19128,1,pooled,1,1,1,0,1
107,0.13703,0.08154,0.19251,1,pooled,1,1,0,1,1
108,0.13732,0.08182,0.19281,1,pooled,0,1,1,1,1
109,0.13791,0.08248,0.19334,1,pooled,1,1,0,0,1
110,0.13824,0.08281,0.19367,1,pooled,0,1,1,0,1
111,0.13906,0.08292,0.19519,1,pooled,0,1,0,1,1
112,0.13994,0.08386,0.19602,1,pooled,0,1,0,0,1
113,0.14665,0.05186,0.24143,1,between,0,1,1,1,0
114,0.14665,0.05186,0.24143,1,between,0,1,1,1,1
115,0.15154,0.05579,0.24728,1,between,0,1,0,1,0
116,0.15154,0.05579,0.24728,1,between,0,1,0,1,1
117,0.15245,0.05779,0.24710,1,between,0,1,1,0,0
118,0.15245,0.05779,0.24710,1,between,0,1,1,0,1
119,0.15587,0.06030,0.25144,1,between,1,1,1,1,0
120,0.15587,0.06030,0.25144,1,between,1,1,1,1,1
121,0.15699,0.06140,0.25258,1,between,0,1,0,0,0
122,0.15699,0.06140,0.25258,1,between,0,1,0,0,1
123,0.16139,0.06482,0.25795,1,between,1,1,0,1,0
124,0.16139,0.06482,0.25795,1,between,1,1,0,1,1
125,0.16194,0.06663,0.25726,1,between,1,1,1,0,0
126,0.16194,0.06663,0.25726,1,between,1,1,1,0,1
127,0.16620,0.10735,0.22504,1,pooled,1,0,0,1,0
128,0.16643,0.10719,0.22566,1,pooled,1,0,1,1,0
129,0.16705,0.07075,0.26334,1,between,1,1,0,0,0
130,0.16705,0.07075,0.26334,1,between,1,1,0,0,1
131,0.16727,0.10853,0.22601,1,pooled,1,0,0,0,0
132,0.16753,0.10843,0.22664,1,pooled,1,0,1,0,0
133,0.17812,0.11918,0.23706,1,pooled,0,0,0,1,0
134,0.17901,0.11959,0.23843,1,pooled,0,0,1,1,0
135,0.17904,0.12161,0.23647,1,pooled,1,0,0,1,1
136,0.17926,0.12045,0.23808,1,pooled,0,0,0,0,0
137,0.17973,0.12200,0.23746,1,pooled,1,0,1,1,1
138,0.17990,0.12255,0.23725,1,pooled,1,0,0,0,1
139,0.18019,0.12093,0.23946,1,pooled,0,0,1,0,0
140,0.18063,0.12301,0.23826,1,pooled,1,0,1,0,1
141,0.18287,0.12482,0.24091,1,pooled,0,0,0,1,1
142,0.18307,0.12464,0.24150,1,pooled,0,0,1,1,1
143,0.18372,0.12576,0.24168,1,pooled,0,0,0,0,1
144,0.18396,0.12564,0.24227,1,pooled,0,0,1,0,1
145,0.24978,0.15207,0.34749,1,between,0,0,0,1,0
146,0.24978,0.15207,0.34749,1,between,0,0,0,1,1
147,0.25053,0.15325,0.34781,1,between,0,0,1,1,0
148,0.25053,0.15325,0.34781,1,between,0,0,1,1,1
149,0.25277,0.15530,0.35024,1,between,0,0,0,0,0
150,0.25277,0.15530,0.35024,1,between,0,0,0,0,1
151,0.25337,0.15446,0.35227,1,between,1,0,0,1,0
152,0.25337,0.15446,0.35227,1,between,1,0,0,1,1
153,0.25376,0.15671,0.35081,1,between,0,0,1,0,0
154,0.25376,0.15671,0.35081,1,between,0,0,1,0,1
155,0.25399,0.15557,0.35241,1,between,1,0,1,1,0
156,0.25399,0.15557,0.35241,1,between,1,0,1,1,1
157,0.25667,0.15811,0.35523,1,between,1,0,0,0,0
158,0.25667,0.15811,0.35523,1,between,1,0,0,0,1
159,0.25759,0.15951,0.35567,1,between,1,0,1,0,0
160,0.25759,0.15951,0.35567,1,between,1,0,1,0,1